HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458889.74424,2020-02-10.2434629,bj,2.09,99.990,99.990,99.990,99.990,99.990,g
2458890.54956,2020-02-11.0488092,bj,1.59,16.841,15.013,0.041,3.586,0.133,g
2458890.55078,2020-02-11.0500288,bj,1.57,16.775,14.968,0.041,3.738,0.142,g
2458890.55201,2020-02-11.0512564,bj,1.52,16.630,14.948,0.046,3.809,0.162,g
2458890.73287,2020-02-11.2321187,bj,1.67,15.931,14.818,0.079,4.292,0.309,g
2458890.73409,2020-02-11.2333452,bj,1.55,15.923,14.944,0.089,3.825,0.312,g
2458890.73532,2020-02-11.2345739,bj,1.58,15.821,14.839,0.090,4.211,0.343,g
2458891.54501,2020-02-12.0442979,bj,1.60,16.817,14.950,0.039,3.799,0.136,g
2458891.54746,2020-02-12.0467465,bj,1.58,16.644,15.021,0.049,3.563,0.160,g
2458891.74496,2020-02-12.2442475,bF,1.69,16.208,14.920,0.067,3.907,0.239,g
2458891.74623,2020-02-12.2455173,bF,1.56,16.136,14.901,0.070,3.977,0.255,g
2458893.53983,2020-02-14.0391844,bj,2.17,16.875,15.008,0.039,3.602,0.130,g
2458893.54106,2020-02-14.0404129,bj,2.21,16.871,14.958,0.037,3.775,0.130,g
2458893.54228,2020-02-14.0416336,bj,2.18,16.813,14.939,0.039,3.841,0.137,g
2458893.72693,2020-02-14.2262807,bj,1.59,16.142,15.086,0.084,3.352,0.255,g
2458893.72816,2020-02-14.2275120,bj,1.49,16.093,14.906,0.074,3.959,0.269,g
2458893.72938,2020-02-14.2287407,bj,1.68,15.857,14.905,0.092,3.965,0.334,g
2458894.54310,2020-02-15.0424848,bj,1.55,17.064,15.101,0.036,3.307,0.109,g
2458894.54432,2020-02-15.0437090,bj,1.61,16.993,14.990,0.034,3.666,0.116,g
2458894.54555,2020-02-15.0449320,bj,1.56,16.977,15.058,0.037,3.442,0.118,g
2458894.72651,2020-02-15.2259013,bj,1.61,16.066,14.995,0.083,3.650,0.277,g
2458894.72775,2020-02-15.2271334,bj,1.67,16.070,15.066,0.089,3.417,0.276,g
2458894.72898,2020-02-15.2283667,bj,1.75,15.831,15.147,0.118,3.169,0.341,g
2458897.71815,2020-02-18.2176380,bj,1.67,16.592,15.088,0.057,3.346,0.174,g
2458897.71936,2020-02-18.2188575,bj,1.56,16.448,14.909,0.055,3.949,0.199,g
2458898.71224,2020-02-19.2117739,bj,1.56,16.786,15.025,0.044,3.549,0.143,g
2458898.71346,2020-02-19.2129932,bj,1.59,16.676,14.940,0.045,3.840,0.160,g
2458898.71469,2020-02-19.2142127,bj,1.56,16.563,15.007,0.054,3.606,0.177,g
2458900.52343,2020-02-21.0230200,bj,1.56,16.903,15.033,0.039,3.522,0.126,g
2458900.52465,2020-02-21.0242469,bj,1.56,16.899,15.058,0.040,3.442,0.127,g
2458900.52587,2020-02-21.0254653,bj,1.61,16.918,15.037,0.039,3.511,0.124,g
2458901.70640,2020-02-22.2060342,bj,1.54,16.592,15.038,0.053,3.508,0.172,g
2458901.70763,2020-02-22.2072594,bj,1.55,16.486,14.955,0.055,3.785,0.192,g
2458903.71222,2020-02-24.2119351,bF,1.55,16.939,14.997,0.036,3.640,0.122,g
2458904.29278,2020-02-24.7925120,bn,1.55,17.140,15.066,0.032,3.419,0.101,g
2458904.29401,2020-02-24.7937325,bn,1.49,17.188,15.039,0.030,3.504,0.097,g
2458904.29521,2020-02-24.7949451,bn,1.55,17.174,15.106,0.032,3.294,0.098,g
2458906.30114,2020-02-26.8009452,bn,1.48,16.954,15.031,0.037,3.530,0.120,g
2458906.30236,2020-02-26.8021625,bn,1.56,16.866,15.041,0.041,3.495,0.131,g
2458906.30357,2020-02-26.8033715,bn,1.58,16.561,15.030,0.053,3.531,0.173,g
2458906.63765,2020-02-27.1374637,bj,1.58,16.972,15.075,0.038,3.388,0.118,g
2458906.63888,2020-02-27.1386824,bj,1.56,16.962,15.065,0.038,3.420,0.119,g
2458906.64011,2020-02-27.1399170,bj,1.56,16.985,15.060,0.037,3.436,0.117,g
2458907.67133,2020-02-28.1711766,bj,1.54,16.920,15.091,0.040,3.339,0.124,g
2458907.67255,2020-02-28.1723959,bj,1.53,16.871,15.064,0.041,3.422,0.130,g
2458907.67377,2020-02-28.1736166,bj,1.60,16.891,15.023,0.039,3.557,0.128,g
2458908.62187,2020-02-29.1217535,bj,1.58,16.919,15.039,0.039,3.502,0.124,g
2458908.62310,2020-02-29.1229844,bj,1.55,16.943,14.991,0.036,3.659,0.121,g
2458908.62433,2020-02-29.1242121,bj,1.63,16.942,15.047,0.038,3.479,0.122,g
2458909.53552,2020-03-01.0354295,bj,1.64,16.920,15.035,0.038,3.517,0.124,g
2458909.53674,2020-03-01.0366526,bj,1.61,16.919,15.123,0.042,3.244,0.124,g
2458909.53796,2020-03-01.0378672,bj,1.59,16.861,15.052,0.041,3.461,0.131,g
2458910.55076,2020-03-02.0507115,bF,1.67,17.016,15.010,0.034,3.600,0.114,g
2458910.55203,2020-03-02.0519844,bF,1.59,16.984,15.107,0.039,3.291,0.117,g
2458910.55332,2020-03-02.0532693,bF,1.60,16.939,15.021,0.037,3.563,0.122,g
2458911.56992,2020-03-03.0699118,bF,1.64,16.889,15.063,0.041,3.426,0.128,g
2458911.57119,2020-03-03.0711776,bF,1.64,16.900,15.040,0.039,3.500,0.126,g
